instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,,148,392
J5010_5.mm,427,1814420,14560135,44,Feasible,602.93,Yes,wall-time kill (parent),,,,,
J5011_1.mm,386,1679380,13670126,29,Feasible,601.34,Yes,wall-time kill (parent),,,,,
J5011_2.mm,401,1668991,11988111,30,Feasible,601.75,Yes,wall-time kill (parent),,,,,
J5011_3.mm,375,1489886,11772885,39,Feasible,609.35,Yes,wall-time kill (parent),,,,,
J5011_4.mm,397,1765779,13247285,30,Feasible,611.34,Yes,wall-time kill (parent),,,,,
J5011_5.mm,400,1627238,13884776,39,Feasible,611.45,Yes,wall-time kill (parent),,,,,
J5012_1.mm,403,1712389,12744156,28,Feasible,603.1,Yes,wall-time kill (parent),,,,,
J5012_2.mm,413,1604647,14534473,39,Feasible,605.82,Yes,wall-time kill (parent),,,,,
J5012_3.mm,396,1724103,13446605,28,Feasible,606.76,Yes,wall-time kill (parent),,,,,
J5012_4.mm,396,1895270,12372138,39,Feasible,610.41,Yes,wall-time kill (parent),,,,,
J5012_5.mm,387,1659844,11773692,66,Feasible,612.35,Yes,wall-time kill (parent),,,,,
J5013_1.mm,402,973795,10216924,27,Feasible,613.29,Yes,wall-time kill (parent),,,,,
J5013_2.mm,399,964788,10984447,29,Optimal,161.81,No,,,,,,
J5013_3.mm,416,940100,11335867,28,Optimal,319.43,No,,,,,,
J5013_4.mm,396,986887,11891531,24,Optimal,467.35,No,,,,,,
J5013_5.mm,394,982172,11346822,24,Optimal,157.81,No,,,,,,
J5014_1.mm,423,1100572,12905798,23,Optimal,122.76,No,,,,,,
J5014_2.mm,399,961029,12143707,21,Optimal,103.62,No,,,,,,
J5014_3.mm,401,1040524,12170837,22,Optimal,101.53,No,,,,,,
J5014_4.mm,423,1077245,13601681,20,Optimal,127.81,No,,,,,,
J5014_5.mm,386,1038495,10732345,19,Optimal,92.95,No,,,,,,
J5015_1.mm,386,977029,9997411,19,Optimal,84.08,No,,,,,,
J5015_2.mm,408,1082001,12124987,25,Optimal,100.94,No,,,,,,
J5015_3.mm,396,981889,10362618,17,Optimal,86.07,No,,,,,,
J5015_4.mm,408,926870,12240674,23,Optimal,101.75,No,,,,,,
J5015_5.mm,421,1131463,12322356,18,Optimal,103.35,No,,,,,,
J5016_1.mm,402,947203,12415162,17,Optimal,104.49,No,,,,,,
J5016_2.mm,385,918866,9896588,16,Optimal,89.06,No,,,,,,
J5016_3.mm,428,982317,12944305,18,Optimal,108.78,No,,,,,,
J5016_4.mm,409,1075754,12073651,19,Optimal,103.53,No,,,,,,
J5016_5.mm,420,927757,11391772,26,Optimal,95.88,No,,,,,,
J5017_1.mm,420,1106285,12920012,17,Optimal,105.65,No,,,,,,
J5017_2.mm,403,963103,11077476,20,Optimal,93.06,No,,,,,,
J5017_3.mm,374,779189,8759277,16,Optimal,73.99,No,,,,,,
J5017_4.mm,407,935837,12508086,15,Optimal,104.25,No,,,,,,
J5017_5.mm,386,978237,10815586,18,Optimal,90.53,No,,,,,,
J5018_1.mm,394,986341,10023627,24,Optimal,87.18,No,,,,,,
J5018_2.mm,381,831633,9879296,20,Optimal,85.03,No,,,,,,
J5018_3.mm,387,903911,11189842,16,Optimal,95.03,No,,,,,,
J5018_4.mm,394,937341,11328874,19,Optimal,95.75,No,,,,,,
J5018_5.mm,400,979747,11189017,17,Optimal,93.65,No,,,,,,
J5019_1.mm,385,2006298,11977423,40,Feasible,615.47,Yes,wall-time kill (parent),,,,,
J5019_2.mm,412,2329637,15262318,28,Feasible,616.63,Yes,wall-time kill (parent),,,,,
J5019_3.mm,405,2230923,13948903,32,Feasible,616.72,Yes,wall-time kill (parent),,,,,
J5019_4.mm,394,2318652,14139180,27,Feasible,613.92,Yes,wall-time kill (parent),,,,,
J5019_5.mm,408,2409144,14371932,28,Feasible,616.01,Yes,wall-time kill (parent),,,,,
J501_1.mm,397,813356,10734441,33,Feasible,617.1,Yes,wall-time kill (parent),,,,,
J501_2.mm,408,883820,12997328,25,Feasible,618.32,Yes,wall-time kill (parent),,,,,
J501_3.mm,381,810769,10846340,25,Optimal,575.87,No,,,,,,
J501_4.mm,372,797574,9316333,29,Feasible,617.69,Yes,wall-time kill (parent),,,,,
J501_5.mm,388,801861,11154821,26,Optimal,198.4,No,,,,,,
J5020_1.mm,412,2187692,13594516,30,Optimal,143.75,No,,,,,,
J5020_2.mm,398,2067345,12934648,28,Feasible,615.63,Yes,wall-time kill (parent),,,,,
J5020_3.mm,388,2045649,11934840,23,Optimal,118.3,No,,,,,,
J5020_4.mm,385,2161122,12581671,31,Feasible,611.95,Yes,wall-time kill (parent),,,,,
J5020_5.mm,399,2125899,14029454,32,Feasible,611.03,Yes,wall-time kill (parent),,,,,
J5021_1.mm,407,2117734,14336714,19,Feasible,606.47,Yes,wall-time kill (parent),,,,,
J5021_2.mm,404,2335284,15144511,21,Optimal,132.69,No,,,,,,
J5021_3.mm,387,2168991,12317465,21,Optimal,111.16,No,,,,,,
J5021_4.mm,403,2155078,14440628,18,Optimal,127.53,No,,,,,,
J5021_5.mm,397,2085363,13016083,20,Feasible,601.41,Yes,wall-time kill (parent),,,,,
J5022_1.mm,417,2160459,14106021,21,Feasible,601.46,Yes,wall-time kill (parent),,,,,
J5022_2.mm,395,2033208,12844968,20,Optimal,168.27,No,,,,,,
J5022_3.mm,420,2402778,15360034,18,Optimal,141.56,No,,,,,,
J5022_4.mm,401,2162213,13745429,21,Optimal,138.87,No,,,,,,
J5022_5.mm,411,2214407,15058783,24,Feasible,601.47,Yes,wall-time kill (parent),,,,,
J5023_1.mm,382,2034545,12768314,17,Optimal,170.27,No,,,,,,
J5023_2.mm,413,2139014,15466039,19,Optimal,147.79,No,,,,,,
J5023_3.mm,414,2362586,14477264,20,Optimal,129.58,No,,,,,,
J5023_4.mm,413,2296498,15356297,16,Feasible,601.52,Yes,wall-time kill (parent),,,,,
J5023_5.mm,391,2113327,11949485,22,Optimal,107.09,No,,,,,,
J5024_1.mm,400,2100694,13068017,18,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5024_2.mm,407,2337632,14336817,18,Optimal,134.86,No,,,,,,
J5024_3.mm,393,2376754,13503879,23,Optimal,126.1,No,,,,,,
J5024_4.mm,402,2283792,13847694,18,Optimal,130,No,,,,,,
J5024_5.mm,409,2266495,14777288,18,Optimal,135.56,No,,,,,,
J5025_1.mm,396,1271411,11792194,24,Optimal,173.6,No,,,,,,
J5025_2.mm,395,1063776,10639919,29,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5025_3.mm,390,1061036,11361407,27,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5025_4.mm,365,1038960,9787449,38,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5025_5.mm,395,1150509,12021795,27,Optimal,206.89,No,,,,,,
J5026_1.mm,409,1195734,13424198,20,Optimal,128.71,No,,,,,,
J5026_2.mm,400,1069024,10697733,21,Optimal,93.95,No,,,,,,
J5026_3.mm,389,1191826,11314311,22,Optimal,95.8,No,,,,,,
J5026_4.mm,394,1179826,11616884,21,Optimal,111.81,No,,,,,,
J5026_5.mm,395,1270885,11851294,19,Optimal,101.22,No,,,,,,
J5027_1.mm,379,1126214,11637939,20,Optimal,96.72,No,,,,,,
J5027_2.mm,407,1127568,11971253,18,Optimal,100.29,No,,,,,,
J5027_3.mm,400,1084926,10812277,17,Optimal,91.02,No,,,,,,
J5027_4.mm,402,1123560,12032472,17,Optimal,99.96,No,,,,,,
J5027_5.mm,390,1126094,10984643,18,Optimal,94.16,No,,,,,,
J5028_1.mm,405,1099524,11913414,25,Optimal,100.21,No,,,,,,
J5028_2.mm,414,1151727,12956988,18,Optimal,109.86,No,,,,,,
J5028_3.mm,398,1036888,10784742,21,Optimal,93.08,No,,,,,,
J5028_4.mm,404,1041647,10096433,23,Optimal,86.96,No,,,,,,
J5028_5.mm,408,1126252,12222041,19,Optimal,104.78,No,,,,,,
J5029_1.mm,397,1218415,11258884,18,Optimal,95.49,No,,,,,,
J5029_2.mm,413,1138352,12653790,19,Optimal,105.38,No,,,,,,
J5029_3.mm,401,1220167,12108398,17,Optimal,101.51,No,,,,,,
J5029_4.mm,390,1125140,10775084,20,Optimal,93.42,No,,,,,,
J5029_5.mm,415,1131154,12946953,16,Optimal,108.72,No,,,,,,
J502_1.mm,400,873214,10505366,24,Optimal,96.23,No,,,,,,
J502_2.mm,416,869368,12893991,26,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J502_3.mm,406,840732,11481788,22,Optimal,131.45,No,,,,,,
J502_4.mm,431,943229,12197920,24,Optimal,183.46,No,,,,,,
J502_5.mm,410,850505,12369719,23,Optimal,188.89,No,,,,,,
J5030_1.mm,394,1088778,11078077,17,Optimal,97.17,No,,,,,,
J5030_2.mm,401,1251705,12092551,20,Optimal,107.06,No,,,,,,
J5030_3.mm,404,1106340,12086362,20,Optimal,103.72,No,,,,,,
J5030_4.mm,381,960011,10280675,17,Optimal,89.35,No,,,,,,
J5030_5.mm,396,1058266,10861832,17,Optimal,93.39,No,,,,,,
J5031_1.mm,391,2409171,13568496,26,Optimal,341.22,No,,,,,,
J5031_2.mm,404,2586232,13410564,29,Feasible,601.43,Yes,wall-time kill (parent),,,,,
J5031_3.mm,396,2280354,14234227,28,Feasible,601.47,Yes,wall-time kill (parent),,,,,
J5031_4.mm,403,2369839,14743857,29,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5031_5.mm,400,2369376,13532354,25,Optimal,247.32,No,,,,,,
J5032_1.mm,401,2463031,14230903,23,Optimal,131.2,No,,,,,,
J5032_2.mm,402,2417617,14340915,22,Optimal,143.89,No,,,,,,
J5032_3.mm,414,2665939,15235199,23,Optimal,152.02,No,,,,,,
J5032_4.mm,402,2358601,13964232,23,Optimal,141.05,No,,,,,,
J5032_5.mm,394,2614492,14496338,20,Optimal,149.14,No,,,,,,
J5033_1.mm,403,2445980,14193957,20,Optimal,121.5,No,,,,,,
J5033_2.mm,415,2641687,15812156,23,Optimal,139.47,No,,,,,,
J5033_3.mm,395,2366775,12784868,21,Optimal,114.23,No,,,,,,
J5033_4.mm,391,2374042,13595446,20,Optimal,117.69,No,,,,,,
J5033_5.mm,369,1977816,12006621,20,Optimal,104.47,No,,,,,,
J5034_1.mm,403,2359087,14584065,18,Optimal,128.91,No,,,,,,
J5034_2.mm,411,2514465,14321091,24,Optimal,128.4,No,,,,,,
J5034_3.mm,391,2290235,13165530,25,Optimal,118.63,No,,,,,,
J5034_4.mm,432,2754397,16774592,19,Optimal,171.55,No,,,,,,
J5034_5.mm,409,2611434,15396667,21,Optimal,137.61,No,,,,,,
J5035_1.mm,377,2266379,12659697,16,Optimal,112.35,No,,,,,,
J5035_2.mm,410,2372275,14534119,21,Optimal,126.97,No,,,,,,
J5035_3.mm,403,2572547,16185871,20,Optimal,142.29,No,,,,,,
J5035_4.mm,406,2400219,13886866,22,Optimal,123.44,No,,,,,,
J5035_5.mm,404,2527560,14341783,22,Optimal,126.73,No,,,,,,
J5036_1.mm,399,2349694,14223407,20,Optimal,130.13,No,,,,,,
J5036_2.mm,407,2552245,15486686,19,Optimal,136.65,No,,,,,,
J5036_3.mm,420,2605838,16144286,18,Optimal,143.87,No,,,,,,
J5036_4.mm,398,2392468,13634665,23,Optimal,124.89,No,,,,,,
J5036_5.mm,420,2279167,14514016,21,Optimal,130.36,No,,,,,,
J5037_1.mm,386,624487,9893677,42,Optimal,430.79,No,,,,,,
J5037_2.mm,399,684444,12485043,43,Feasible,601.29,Yes,wall-time kill (parent),,,,,
J5037_3.mm,428,911735,13492743,48,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5037_4.mm,385,674590,10373129,40,Feasible,601.26,Yes,wall-time kill (parent),,,,,
J5037_5.mm,381,646013,9931558,42,Optimal,556.37,No,,,,,,
J5038_1.mm,408,812671,11067833,35,Optimal,114.6,No,,,,,,
J5038_2.mm,399,855256,11026034,30,Optimal,116.25,No,,,,,,
J5038_3.mm,419,853348,12427717,34,Optimal,131.28,No,,,,,,
J5038_4.mm,407,715384,10333365,37,Optimal,197.86,No,,,,,,
J5038_5.mm,400,647397,10719132,38,Optimal,110.53,No,,,,,,
J5039_1.mm,403,635112,9573036,30,Optimal,85.75,No,,,,,,
J5039_2.mm,390,751941,10595205,29,Optimal,92.45,No,,,,,,
J5039_3.mm,410,703020,10549096,27,Optimal,98.61,No,,,,,,
J5039_4.mm,374,650616,9580025,29,Optimal,81.71,No,,,,,,
J5039_5.mm,418,869241,13149881,25,Optimal,128.88,No,,,,,,
J503_1.mm,416,817313,11943347,19,Optimal,103.54,No,,,,,,
J503_2.mm,379,892099,9341410,20,Optimal,80.26,No,,,,,,
J503_3.mm,396,813463,10361296,18,Optimal,91.63,No,,,,,,
J503_4.mm,398,810073,10065306,23,Optimal,84.79,No,,,,,,
J503_5.mm,403,877096,11772068,18,Optimal,158.24,No,,,,,,
J5040_1.mm,386,729310,10743662,26,Optimal,102.23,No,,,,,,
J5040_2.mm,408,642774,10735234,30,Optimal,124.22,No,,,,,,
J5040_3.mm,399,781406,10680046,27,Optimal,121.93,No,,,,,,
J5040_4.mm,375,681953,9426816,28,Optimal,83.9,No,,,,,,
J5040_5.mm,393,737584,9958212,30,Optimal,86.15,No,,,,,,
J5041_1.mm,395,768611,12300371,27,Optimal,101.75,No,,,,,,
J5041_2.mm,385,661552,10312211,28,Optimal,86.59,No,,,,,,
J5041_3.mm,404,758568,12868559,27,Optimal,109.11,No,,,,,,
J5041_4.mm,422,682931,11997548,28,Optimal,100.9,No,,,,,,
J5041_5.mm,402,630529,10315027,33,Optimal,86.23,No,,,,,,
J5042_1.mm,403,659182,9908167,33,Optimal,84.74,No,,,,,,
J5042_2.mm,419,820079,11167601,25,Optimal,98.94,No,,,,,,
J5042_3.mm,432,744349,12985902,26,Optimal,139.93,No,,,,,,
J5042_4.mm,404,832824,10922163,24,Optimal,96.65,No,,,,,,
J5042_5.mm,394,647182,10650895,30,Optimal,91.02,No,,,,,,
J5043_1.mm,401,1260712,11185141,79,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5043_2.mm,402,1230948,12571395,74,Feasible,601.24,Yes,wall-time kill (parent),,,,,
J5043_3.mm,416,1330926,12399379,223,Feasible,601.22,Yes,wall-time kill (parent),,,,,
J5043_4.mm,411,1537555,13814761,71,Feasible,601.3,Yes,wall-time kill (parent),,,,,
J5043_5.mm,402,1545146,13907836,117,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5044_1.mm,395,1505656,11644480,75,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5044_2.mm,400,1637838,14577962,68,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5044_3.mm,406,1231589,11809823,72,Feasible,601.26,Yes,wall-time kill (parent),,,,,
J5044_4.mm,400,1397375,12637168,71,Feasible,601.26,Yes,wall-time kill (parent),,,,,
J5044_5.mm,416,1606542,12437168,52,Feasible,601.33,Yes,wall-time kill (parent),,,,,
J5045_1.mm,425,1562731,13551809,55,Feasible,601.23,Yes,wall-time kill (parent),,,,,
J5045_2.mm,391,1460261,11977766,44,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5045_3.mm,396,1464978,11698271,43,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5045_4.mm,396,1565072,13097536,46,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5045_5.mm,413,1472826,12481839,73,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5046_1.mm,400,1382881,12541514,55,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5046_2.mm,396,1551125,12949124,69,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5046_3.mm,440,1678676,14337333,54,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5046_4.mm,377,1479618,11736562,39,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5046_5.mm,418,1587057,14360461,47,Feasible,601.33,Yes,wall-time kill (parent),,,,,
J5047_1.mm,380,1416578,11026953,45,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5047_2.mm,408,1588293,13081260,48,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5047_3.mm,405,1360252,11689787,52,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5047_4.mm,382,1366283,10710493,46,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5047_5.mm,404,1647202,11994031,46,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5048_1.mm,420,1646343,13381394,41,Feasible,601.36,Yes,wall-time kill (parent),,,,,
J5048_2.mm,376,1382288,10804667,47,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5048_3.mm,404,1657398,13285753,34,Feasible,601.36,Yes,wall-time kill (parent),,,,,
J5048_4.mm,397,1566812,13250323,45,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5048_5.mm,418,1600193,13621406,47,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J5049_1.mm,395,906808,11135748,39,Optimal,239.7,No,,,,,,
J5049_2.mm,413,772612,10923302,45,Optimal,364.29,No,,,,,,
J5049_3.mm,377,876635,10602143,38,Optimal,181.97,No,,,,,,
J5049_4.mm,391,811528,10218074,38,Optimal,300.52,No,,,,,,
J5049_5.mm,386,907922,11480810,35,Feasible,601.34,Yes,wall-time kill (parent),,,,,
J504_1.mm,419,834281,11785830,19,Optimal,163.77,No,,,,,,
J504_2.mm,407,970558,12504363,18,Optimal,115.25,No,,,,,,
J504_3.mm,405,791400,11374819,21,Optimal,97.94,No,,,,,,
J504_4.mm,409,801268,10983082,19,Optimal,221.42,No,,,,,,
J504_5.mm,413,846395,11618021,23,Feasible,601.27,Yes,wall-time kill (parent),,,,,
J5050_1.mm,430,1012762,13992920,37,Optimal,138.44,No,,,,,,
J5050_2.mm,387,838940,10377015,31,Optimal,88.95,No,,,,,,
J5050_3.mm,387,799914,9683809,36,Optimal,81.86,No,,,,,,
J5050_4.mm,402,840235,11355254,37,Optimal,97.64,No,,,,,,
J5050_5.mm,406,891717,11409889,33,Optimal,104.03,No,,,,,,
J5051_1.mm,378,875799,9772152,21,Optimal,82.51,No,,,,,,
J5051_2.mm,397,921317,11600036,26,Optimal,100.52,No,,,,,,
J5051_3.mm,384,801159,9901660,25,Optimal,83.14,No,,,,,,
J5051_4.mm,366,806996,9356060,31,Optimal,77.57,No,,,,,,
J5051_5.mm,391,848919,11177342,25,Optimal,92.52,No,,,,,,
J5052_1.mm,389,776834,10478455,25,Optimal,101.59,No,,,,,,
J5052_2.mm,398,814695,10367212,25,Optimal,89.85,No,,,,,,
J5052_3.mm,430,892816,12344204,29,Optimal,118.7,No,,,,,,
J5052_4.mm,397,789932,9834482,33,Optimal,83.33,No,,,,,,
J5052_5.mm,397,941565,10602654,26,Optimal,92.48,No,,,,,,
J5053_1.mm,386,904354,10317540,28,Optimal,86.4,No,,,,,,
J5053_2.mm,378,862538,10053446,25,Optimal,83.08,No,,,,,,
J5053_3.mm,406,889885,11303772,32,Optimal,92.78,No,,,,,,
J5053_4.mm,399,848254,12097576,18,Optimal,99.62,No,,,,,,
J5053_5.mm,422,780888,12020480,32,Optimal,98.23,No,,,,,,
J5054_1.mm,413,775974,10267188,25,Optimal,87.7,No,,,,,,
J5054_2.mm,426,927389,12293236,27,Optimal,104.88,No,,,,,,
J5054_3.mm,379,878350,9672154,26,Optimal,84.06,No,,,,,,
J5054_4.mm,413,914710,12755145,21,Optimal,119.72,No,,,,,,
J5054_5.mm,395,858513,11017601,23,Optimal,94.92,No,,,,,,
J5055_1.mm,381,1852208,11990700,37,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5055_2.mm,362,1671103,10599286,41,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J5055_3.mm,414,1897171,14402003,40,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5055_4.mm,389,1575217,12169449,45,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J5055_5.mm,391,1858954,12905118,44,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5056_1.mm,414,1736532,14888597,46,Feasible,601.31,Yes,wall-time kill (parent),,,,,
J5056_2.mm,371,1929323,11914814,29,Optimal,117.39,No,,,,,,
J5056_3.mm,413,2071045,14080512,34,Optimal,229.58,No,,,,,,
J5056_4.mm,400,1918427,13841170,35,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5056_5.mm,417,1805676,14496367,48,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J5057_1.mm,405,1772539,14112695,26,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5057_2.mm,391,1609238,12085097,28,Optimal,127.89,No,,,,,,
J5057_3.mm,402,1678540,12830892,31,Optimal,143.63,No,,,,,,
J5057_4.mm,397,1843149,13035128,28,Optimal,115.02,No,,,,,,
J5057_5.mm,399,2063068,13592435,27,Optimal,116.42,No,,,,,,
J5058_1.mm,439,1837103,14466237,35,Feasible,601.39,Yes,wall-time kill (parent),,,,,
J5058_2.mm,403,2056464,13253930,33,Optimal,119,No,,,,,,
J5058_3.mm,408,1832461,12784365,33,Optimal,122.48,No,,,,,,
J5058_4.mm,423,1901685,15398787,33,Feasible,601.42,Yes,wall-time kill (parent),,,,,
J5058_5.mm,405,1829687,14004175,35,Feasible,601.39,Yes,wall-time kill (parent),,,,,
J5059_1.mm,377,1766574,12018486,29,Optimal,108.34,No,,,,,,
J5059_2.mm,402,1800256,12744829,22,Optimal,114.89,No,,,,,,
J5059_3.mm,402,1835959,13525893,24,Optimal,140.69,No,,,,,,
J5059_4.mm,382,1704107,12033397,31,Optimal,118.19,No,,,,,,
J5059_5.mm,410,2176155,15059063,33,Optimal,133.97,No,,,,,,
J505_1.mm,387,726583,10944680,20,Optimal,91.65,No,,,,,,
J505_2.mm,389,827772,10318709,18,Optimal,86.66,No,,,,,,
J505_3.mm,376,777784,10147477,20,Optimal,88.61,No,,,,,,
J505_4.mm,433,969676,14641524,18,Optimal,133.55,No,,,,,,
J505_5.mm,398,846799,11202188,17,Optimal,95.7,No,,,,,,
J5060_1.mm,392,1616574,12102895,34,Optimal,110.43,No,,,,,,
J5060_2.mm,403,1898542,12120672,27,Optimal,111.53,No,,,,,,
J5060_3.mm,411,1738239,13566623,32,Optimal,129.16,No,,,,,,
J5060_4.mm,392,1985609,12702688,23,Optimal,119.92,No,,,,,,
J5060_5.mm,389,1807750,12486493,24,Optimal,115.36,No,,,,,,
J5061_1.mm,410,1136104,13710080,37,Optimal,371.5,No,,,,,,
J5061_2.mm,405,1013109,10655040,42,Feasible,601.21,Yes,wall-time kill (parent),,,,,
J5061_3.mm,390,978869,11004245,45,Feasible,601.33,Yes,wall-time kill (parent),,,,,
J5061_4.mm,400,945983,11364644,43,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J5061_5.mm,428,1068004,13511311,36,Optimal,319.37,No,,,,,,
J5062_1.mm,412,1053347,11545279,34,Optimal,98.42,No,,,,,,
J5062_2.mm,408,1017270,12114098,32,Optimal,102.17,No,,,,,,
J5062_3.mm,389,1055733,10867277,32,Optimal,92.33,No,,,,,,
J5062_4.mm,389,1022971,11352493,28,Optimal,110.39,No,,,,,,
J5062_5.mm,385,945827,10606540,31,Optimal,100.08,No,,,,,,
J5063_1.mm,420,1048244,13073042,28,Optimal,107.83,No,,,,,,
J5063_2.mm,408,1071670,11506639,32,Optimal,95.39,No,,,,,,
J5063_3.mm,407,969195,11545679,27,Optimal,97.1,No,,,,,,
J5063_4.mm,385,947826,11463278,21,Optimal,94.82,No,,,,,,
J5063_5.mm,412,1168732,11983918,32,Optimal,101.02,No,,,,,,
J5064_1.mm,408,1006798,12568266,29,Optimal,110.95,No,,,,,,
J5064_2.mm,410,950703,10548130,28,Optimal,90.99,No,,,,,,
J5064_3.mm,414,1120634,11945558,32,Optimal,107.84,No,,,,,,
